disc_conv2 - mean: 0.112383, std: 0.130299, max: 0.639036, min: -0.358476
disc_conv1 - mean: 0.008470, std: 0.161882, max: 0.538983, min: -0.620429
disc_conv2 - mean: 0.113246, std: 0.139049, max: 0.656896, min: -0.377556
disc_conv1 - mean: 0.008848, std: 0.162060, max: 0.522034, min: -0.628433
disc_conv2 - mean: 0.113475, std: 0.128097, max: 0.652354, min: -0.399215
disc_conv1 - mean: 0.008563, std: 0.161674, max: 0.527580, min: -0.618426
disc_conv2 - mean: 0.113920, std: 0.147078, max: 0.660930, min: -0.407446
disc_conv1 - mean: 0.008120, std: 0.160462, max: 0.504329, min: -0.626598
disc_conv2 - mean: 0.108743, std: 0.127353, max: 0.625053, min: -0.383041
disc_conv1 - mean: 0.008354, std: 0.160913, max: 0.529869, min: -0.614681
disc_conv2 - mean: 0.110216, std: 0.131202, max: 0.626686, min: -0.398168
disc_conv1 - mean: 0.008526, std: 0.160121, max: 0.572552, min: -0.625848
disc_conv2 - mean: 0.108589, std: 0.128313, max: 0.691337, min: -0.389494
disc_conv1 - mean: 0.008927, std: 0.161176, max: 0.514283, min: -0.633695
disc_conv2 - mean: 0.111760, std: 0.128209, max: 0.629249, min: -0.371477
disc_conv1 - mean: 0.008984, std: 0.159326, max: 0.511760, min: -0.637579
disc_conv2 - mean: 0.108061, std: 0.127554, max: 0.632728, min: -0.375715
disc_conv1 - mean: 0.009258, std: 0.161672, max: 0.497035, min: -0.642462
disc_conv2 - mean: 0.112554, std: 0.128545, max: 0.633639, min: -0.397168
disc_conv1 - mean: 0.009424, std: 0.163102, max: 0.501942, min: -0.636815
disc_conv2 - mean: 0.115329, std: 0.125905, max: 0.628707, min: -0.383248
disc_conv1 - mean: 0.009396, std: 0.162055, max: 0.535106, min: -0.648760
disc_conv2 - mean: 0.114533, std: 0.130892, max: 0.633432, min: -0.392245
disc_conv1 - mean: 0.009090, std: 0.161931, max: 0.581247, min: -0.650677
disc_conv2 - mean: 0.112313, std: 0.121547, max: 0.616873, min: -0.429467
disc_conv1 - mean: 0.008890, std: 0.161753, max: 0.537002, min: -0.646705
disc_conv2 - mean: 0.114798, std: 0.137617, max: 0.612279, min: -0.431550
disc_conv1 - mean: 0.007542, std: 0.159710, max: 0.497286, min: -0.643175
disc_conv2 - mean: 0.103302, std: 0.117606, max: 0.564830, min: -0.391429
disc_conv1 - mean: 0.007352, std: 0.157357, max: 0.515826, min: -0.640594
disc_conv2 - mean: 0.102364, std: 0.133140, max: 0.573369, min: -0.442734
disc_conv1 - mean: 0.006337, std: 0.159156, max: 0.522399, min: -0.651382
disc_conv2 - mean: 0.100171, std: 0.116778, max: 0.543079, min: -0.427160
disc_conv1 - mean: 0.006446, std: 0.157311, max: 0.505328, min: -0.648202
disc_conv2 - mean: 0.099672, std: 0.122360, max: 0.551911, min: -0.409863
disc_conv1 - mean: 0.006059, std: 0.157060, max: 0.528562, min: -0.646525
disc_conv2 - mean: 0.096695, std: 0.116567, max: 0.545345, min: -0.439557
disc_conv1 - mean: 0.006315, std: 0.158377, max: 0.489152, min: -0.648352
disc_conv2 - mean: 0.100789, std: 0.120260, max: 0.545111, min: -0.416849
disc_conv1 - mean: 0.005966, std: 0.159178, max: 0.513368, min: -0.640965
disc_conv2 - mean: 0.100176, std: 0.114281, max: 0.592112, min: -0.458093
disc_conv1 - mean: 0.006164, std: 0.156967, max: 0.539245, min: -0.643857
disc_conv2 - mean: 0.098830, std: 0.119488, max: 0.571803, min: -0.478715
disc_conv1 - mean: 0.005554, std: 0.158146, max: 0.519475, min: -0.649412
disc_conv2 - mean: 0.097695, std: 0.111966, max: 0.723202, min: -0.461027
disc_conv1 - mean: 0.005674, std: 0.155758, max: 0.490723, min: -0.652223
disc_conv2 - mean: 0.097884, std: 0.117183, max: 0.582465, min: -0.444743
disc_conv1 - mean: 0.004704, std: 0.157361, max: 0.491657, min: -0.652196
disc_conv2 - mean: 0.095366, std: 0.109273, max: 0.713440, min: -0.490481
disc_conv1 - mean: 0.004908, std: 0.154349, max: 0.552104, min: -0.649646
disc_conv2 - mean: 0.094895, std: 0.116266, max: 0.606733, min: -0.472262
disc_conv1 - mean: 0.003718, std: 0.156839, max: 0.480355, min: -0.658964
disc_conv2 - mean: 0.093964, std: 0.105247, max: 0.596216, min: -0.440591
disc_conv1 - mean: 0.004057, std: 0.154369, max: 0.532389, min: -0.648338
disc_conv2 - mean: 0.094118, std: 0.112672, max: 0.622297, min: -0.437886
disc_conv1 - mean: 0.003166, std: 0.154391, max: 0.525353, min: -0.649942
disc_conv2 - mean: 0.089542, std: 0.103646, max: 0.688818, min: -0.458489
disc_conv1 - mean: 0.003713, std: 0.151625, max: 0.528358, min: -0.638313
disc_conv2 - mean: 0.089047, std: 0.109538, max: 0.733251, min: -0.528597
disc_conv1 - mean: 0.003201, std: 0.152410, max: 0.540328, min: -0.648099
disc_conv2 - mean: 0.086793, std: 0.104155, max: 0.645014, min: -0.517507
disc_conv1 - mean: 0.003484, std: 0.154242, max: 0.528085, min: -0.640058
disc_conv2 - mean: 0.093796, std: 0.104215, max: 0.955975, min: -0.517228
disc_conv1 - mean: 0.003232, std: 0.153523, max: 0.483933, min: -0.651474
disc_conv2 - mean: 0.090995, std: 0.100066, max: 0.640392, min: -0.461727
disc_conv1 - mean: 0.003591, std: 0.152169, max: 0.532548, min: -0.649935
disc_conv2 - mean: 0.091431, std: 0.102379, max: 0.722749, min: -0.496166
disc_conv1 - mean: 0.003375, std: 0.153148, max: 0.476669, min: -0.641196
disc_conv2 - mean: 0.091049, std: 0.099818, max: 0.697747, min: -0.481589
disc_conv1 - mean: 0.003621, std: 0.150940, max: 0.494601, min: -0.640169
disc_conv2 - mean: 0.088705, std: 0.102976, max: 0.815952, min: -0.538737
disc_conv1 - mean: 0.003466, std: 0.152486, max: 0.499297, min: -0.651246
disc_conv2 - mean: 0.091177, std: 0.100586, max: 0.728115, min: -0.570540
disc_conv1 - mean: 0.003679, std: 0.149858, max: 0.495258, min: -0.650473
disc_conv2 - mean: 0.087865, std: 0.102796, max: 0.736113, min: -0.521510
disc_conv1 - mean: 0.003701, std: 0.150052, max: 0.493954, min: -0.646559
disc_conv2 - mean: 0.088744, std: 0.100518, max: 0.842202, min: -0.565472
disc_conv1 - mean: 0.003809, std: 0.149594, max: 0.487236, min: -0.636933
disc_conv2 - mean: 0.088767, std: 0.100885, max: 0.738441, min: -0.494193
disc_conv1 - mean: 0.003661, std: 0.151282, max: 0.570302, min: -0.645407
disc_conv2 - mean: 0.091036, std: 0.099519, max: 1.030832, min: -0.536473
disc_conv1 - mean: 0.003674, std: 0.150741, max: 0.498037, min: -0.686579
disc_conv2 - mean: 0.092436, std: 0.096357, max: 0.827463, min: -0.524943
disc_conv1 - mean: 0.003735, std: 0.150621, max: 0.502740, min: -0.637367
disc_conv2 - mean: 0.091404, std: 0.099227, max: 0.798966, min: -0.531253
disc_conv1 - mean: 0.003781, std: 0.149059, max: 0.488274, min: -0.637917
disc_conv2 - mean: 0.088279, std: 0.100973, max: 0.809188, min: -0.581812
disc_conv1 - mean: 0.003666, std: 0.150902, max: 0.493774, min: -0.641584
disc_conv2 - mean: 0.092523, std: 0.096812, max: 0.796675, min: -0.526365
disc_conv1 - mean: 0.003694, std: 0.149756, max: 0.535624, min: -0.650276
disc_conv2 - mean: 0.090999, std: 0.097358, max: 0.834021, min: -0.547984
disc_conv1 - mean: 0.003712, std: 0.148438, max: 0.491141, min: -0.645567
disc_conv2 - mean: 0.088875, std: 0.097643, max: 0.821658, min: -0.566519
disc_conv1 - mean: 0.003504, std: 0.149375, max: 0.563209, min: -0.639614
disc_conv2 - mean: 0.090868, std: 0.094286, max: 0.853629, min: -0.557286
disc_conv1 - mean: 0.003581, std: 0.148025, max: 0.505497, min: -0.635907
disc_conv2 - mean: 0.089091, std: 0.096981, max: 0.897921, min: -0.550857
disc_conv1 - mean: 0.003470, std: 0.149751, max: 0.531983, min: -0.646529
disc_conv2 - mean: 0.091987, std: 0.094326, max: 1.142260, min: -0.598437
disc_conv1 - mean: 0.003543, std: 0.148251, max: 0.539403, min: -0.644458
disc_conv2 - mean: 0.088975, std: 0.096251, max: 0.851611, min: -0.585303
disc_conv1 - mean: 0.003476, std: 0.148502, max: 0.545491, min: -0.643253
disc_conv2 - mean: 0.089003, std: 0.096539, max: 0.880210, min: -0.577793
disc_conv1 - mean: 0.003398, std: 0.148887, max: 0.489417, min: -0.636786
disc_conv2 - mean: 0.090250, std: 0.094538, max: 0.854894, min: -0.575899
disc_conv1 - mean: 0.003352, std: 0.148413, max: 0.622337, min: -0.631412
disc_conv2 - mean: 0.089364, std: 0.095379, max: 1.513883, min: -0.702213
disc_conv1 - mean: 0.003437, std: 0.146805, max: 0.513142, min: -0.655744
disc_conv2 - mean: 0.085296, std: 0.099396, max: 0.976708, min: -0.639104
disc_conv1 - mean: 0.003311, std: 0.145499, max: 0.579140, min: -0.646027
disc_conv2 - mean: 0.083243, std: 0.097374, max: 0.947278, min: -0.616900
disc_conv1 - mean: 0.002726, std: 0.147062, max: 0.512969, min: -0.641676
disc_conv2 - mean: 0.083935, std: 0.094640, max: 0.908986, min: -0.611677
disc_conv1 - mean: 0.002486, std: 0.145223, max: 0.487463, min: -0.649697
disc_conv2 - mean: 0.081955, std: 0.095212, max: 0.994767, min: -0.619874
disc_conv1 - mean: 0.002571, std: 0.144495, max: 0.495793, min: -0.636671
disc_conv2 - mean: 0.081197, std: 0.097514, max: 0.997670, min: -0.657401
disc_conv1 - mean: 0.002549, std: 0.144657, max: 0.501569, min: -0.637721
disc_conv2 - mean: 0.081690, std: 0.093935, max: 0.984812, min: -0.580896
disc_conv1 - mean: 0.002588, std: 0.144941, max: 0.536744, min: -0.653103
disc_conv2 - mean: 0.082135, std: 0.093483, max: 0.931276, min: -0.644498
disc_conv1 - mean: 0.002561, std: 0.145197, max: 0.570013, min: -0.631563
disc_conv2 - mean: 0.083173, std: 0.089823, max: 1.184945, min: -0.666788
disc_conv1 - mean: 0.002650, std: 0.144297, max: 0.552745, min: -0.641624
disc_conv2 - mean: 0.080340, std: 0.095807, max: 1.038775, min: -0.690132
disc_conv1 - mean: 0.002565, std: 0.143580, max: 0.493058, min: -0.643397
disc_conv2 - mean: 0.078938, std: 0.096430, max: 0.944504, min: -0.647566
disc_conv1 - mean: 0.002421, std: 0.143446, max: 0.508954, min: -0.653270
disc_conv2 - mean: 0.078284, std: 0.096572, max: 1.228006, min: -0.676197
disc_conv1 - mean: 0.002039, std: 0.144146, max: 0.529017, min: -0.641637
disc_conv2 - mean: 0.079065, std: 0.093164, max: 0.983348, min: -0.644190
disc_conv1 - mean: 0.002107, std: 0.141699, max: 0.514980, min: -0.631800
disc_conv2 - mean: 0.075581, std: 0.097420, max: 0.973930, min: -0.643910
disc_conv1 - mean: 0.002019, std: 0.142169, max: 0.550765, min: -0.641962
disc_conv2 - mean: 0.075612, std: 0.098597, max: 1.045421, min: -0.665968
disc_conv1 - mean: 0.001800, std: 0.142080, max: 0.506360, min: -0.644751
disc_conv2 - mean: 0.075784, std: 0.094649, max: 0.994903, min: -0.681032
disc_conv1 - mean: 0.001749, std: 0.141009, max: 0.503098, min: -0.640761
disc_conv2 - mean: 0.074142, std: 0.095864, max: 0.977029, min: -0.688551
disc_conv1 - mean: 0.001653, std: 0.141211, max: 0.479743, min: -0.636916
disc_conv2 - mean: 0.074734, std: 0.095819, max: 0.985499, min: -0.670956
disc_conv1 - mean: 0.001488, std: 0.141739, max: 0.483211, min: -0.639642
disc_conv2 - mean: 0.075208, std: 0.094267, max: 1.144407, min: -0.676305
disc_conv1 - mean: 0.001613, std: 0.140220, max: 0.505068, min: -0.623242
disc_conv2 - mean: 0.071761, std: 0.101117, max: 1.068211, min: -0.707969
disc_conv1 - mean: 0.001428, std: 0.140396, max: 0.512714, min: -0.635620
disc_conv2 - mean: 0.072662, std: 0.097592, max: 1.057014, min: -0.668820
disc_conv1 - mean: 0.001353, std: 0.139954, max: 0.493779, min: -0.626473
disc_conv2 - mean: 0.072535, std: 0.095611, max: 1.039345, min: -0.693086
disc_conv1 - mean: 0.001304, std: 0.139607, max: 0.513034, min: -0.631614
