gen_deconv1 - mean: -0.012385, std: 0.307817, max: 1.568318, min: -1.526266
gen_deconv2 - mean: 0.012945, std: 0.228033, max: 0.995892, min: -1.058294
gen_deconv1 - mean: -0.013242, std: 0.310868, max: 1.673618, min: -1.543764
gen_deconv2 - mean: 0.013247, std: 0.230875, max: 1.001540, min: -1.062293
gen_deconv1 - mean: -0.014137, std: 0.314758, max: 1.595149, min: -1.615686
gen_deconv2 - mean: 0.013366, std: 0.234098, max: 0.992001, min: -1.161206
gen_deconv1 - mean: -0.015007, std: 0.317872, max: 1.571527, min: -1.570386
gen_deconv2 - mean: 0.013580, std: 0.236721, max: 1.016252, min: -1.101112
gen_deconv1 - mean: -0.015900, std: 0.319901, max: 1.492735, min: -1.537605
gen_deconv2 - mean: 0.013683, std: 0.238595, max: 1.016482, min: -1.152598
gen_deconv1 - mean: -0.017052, std: 0.327145, max: 1.656099, min: -1.623821
gen_deconv2 - mean: 0.013564, std: 0.243709, max: 1.045665, min: -1.186744
gen_deconv1 - mean: -0.018170, std: 0.328256, max: 1.573380, min: -1.641241
gen_deconv2 - mean: 0.013629, std: 0.244984, max: 1.025888, min: -1.202043
gen_deconv1 - mean: -0.019511, std: 0.332915, max: 1.623114, min: -1.699599
gen_deconv2 - mean: 0.013538, std: 0.248506, max: 1.006951, min: -1.333315
gen_deconv1 - mean: -0.021194, std: 0.338850, max: 1.687577, min: -1.827560
gen_deconv2 - mean: 0.013377, std: 0.252970, max: 1.091305, min: -1.232829
gen_deconv1 - mean: -0.022401, std: 0.341639, max: 1.640594, min: -1.871850
gen_deconv2 - mean: 0.013365, std: 0.255335, max: 1.048137, min: -1.207814
gen_deconv1 - mean: -0.023994, std: 0.345414, max: 1.752684, min: -1.781459
gen_deconv2 - mean: 0.013254, std: 0.258042, max: 1.020806, min: -1.258229
gen_deconv1 - mean: -0.025266, std: 0.348868, max: 1.634313, min: -1.816670
gen_deconv2 - mean: 0.013217, std: 0.260615, max: 1.116707, min: -1.348371
gen_deconv1 - mean: -0.026483, std: 0.351982, max: 1.673992, min: -1.943162
gen_deconv2 - mean: 0.013009, std: 0.262881, max: 1.063221, min: -1.297452
gen_deconv1 - mean: -0.027914, std: 0.356928, max: 1.807070, min: -1.751661
gen_deconv2 - mean: 0.012668, std: 0.266067, max: 1.042670, min: -1.323205
gen_deconv1 - mean: -0.029623, std: 0.363959, max: 1.806355, min: -1.808752
gen_deconv2 - mean: 0.012088, std: 0.270246, max: 1.105199, min: -1.378022
gen_deconv1 - mean: -0.031083, std: 0.365478, max: 1.684627, min: -1.972060
gen_deconv2 - mean: 0.011847, std: 0.270910, max: 1.104439, min: -1.312343
gen_deconv1 - mean: -0.032981, std: 0.372821, max: 1.745205, min: -1.896568
gen_deconv2 - mean: 0.011081, std: 0.275116, max: 1.106949, min: -1.446892
gen_deconv1 - mean: -0.035097, std: 0.380097, max: 1.828979, min: -1.960902
gen_deconv2 - mean: 0.010285, std: 0.278953, max: 1.161715, min: -1.507323
gen_deconv1 - mean: -0.036140, std: 0.378959, max: 1.792071, min: -1.879888
gen_deconv2 - mean: 0.010145, std: 0.277898, max: 1.133519, min: -1.456749
gen_deconv1 - mean: -0.037858, std: 0.382391, max: 1.813560, min: -1.971828
gen_deconv2 - mean: 0.009618, std: 0.279477, max: 1.165445, min: -1.490254
gen_deconv1 - mean: -0.039229, std: 0.384470, max: 1.737799, min: -2.128459
gen_deconv2 - mean: 0.009186, std: 0.280162, max: 1.127790, min: -1.517941
gen_deconv1 - mean: -0.041546, std: 0.392347, max: 1.944244, min: -2.051391
gen_deconv2 - mean: 0.008427, std: 0.284299, max: 1.150884, min: -1.578382
gen_deconv1 - mean: -0.043479, std: 0.397716, max: 1.905775, min: -2.231142
gen_deconv2 - mean: 0.007778, std: 0.287094, max: 1.238644, min: -1.498635
gen_deconv1 - mean: -0.044910, std: 0.398083, max: 1.774617, min: -2.044407
gen_deconv2 - mean: 0.007586, std: 0.286913, max: 1.167058, min: -1.515451
gen_deconv1 - mean: -0.047028, std: 0.405468, max: 1.887374, min: -2.129816
gen_deconv2 - mean: 0.006763, std: 0.290615, max: 1.233279, min: -1.537081
gen_deconv1 - mean: -0.048422, std: 0.404941, max: 1.811076, min: -1.997860
gen_deconv2 - mean: 0.006616, std: 0.289790, max: 1.210778, min: -1.511022
gen_deconv1 - mean: -0.050773, std: 0.413324, max: 1.881744, min: -2.081734
gen_deconv2 - mean: 0.005804, std: 0.294212, max: 1.206332, min: -1.530743
gen_deconv1 - mean: -0.052753, std: 0.417652, max: 1.953251, min: -2.289557
gen_deconv2 - mean: 0.005317, std: 0.296308, max: 1.238481, min: -1.555695
gen_deconv1 - mean: -0.055535, std: 0.427102, max: 1.894758, min: -2.230724
gen_deconv2 - mean: 0.004394, std: 0.301173, max: 1.333979, min: -1.641078
gen_deconv1 - mean: -0.057027, std: 0.426983, max: 1.944073, min: -2.318345
gen_deconv2 - mean: 0.004210, std: 0.300515, max: 1.242997, min: -1.628366
gen_deconv1 - mean: -0.059345, std: 0.432527, max: 1.922169, min: -2.236252
gen_deconv2 - mean: 0.003582, std: 0.303370, max: 1.314745, min: -1.604171
gen_deconv1 - mean: -0.061461, std: 0.437864, max: 1.871027, min: -2.430406
gen_deconv2 - mean: 0.003028, std: 0.306140, max: 1.314992, min: -1.665563
gen_deconv1 - mean: -0.063247, std: 0.439168, max: 1.889800, min: -2.261159
gen_deconv2 - mean: 0.002719, std: 0.306402, max: 1.284436, min: -1.692923
gen_deconv1 - mean: -0.065076, std: 0.442678, max: 1.935373, min: -2.284562
gen_deconv2 - mean: 0.002262, std: 0.308138, max: 1.385630, min: -1.630355
gen_deconv1 - mean: -0.067708, std: 0.449769, max: 1.935815, min: -2.321234
gen_deconv2 - mean: 0.001434, std: 0.311637, max: 1.369442, min: -1.624069
gen_deconv1 - mean: -0.069639, std: 0.452235, max: 2.010343, min: -2.293674
gen_deconv2 - mean: 0.001107, std: 0.312736, max: 1.409303, min: -1.624387
gen_deconv1 - mean: -0.072551, std: 0.462020, max: 1.951230, min: -2.345609
gen_deconv2 - mean: 0.000066, std: 0.317846, max: 1.342951, min: -1.758328
gen_deconv1 - mean: -0.074788, std: 0.463853, max: 2.014681, min: -2.343575
gen_deconv2 - mean: -0.000301, std: 0.318040, max: 1.339049, min: -1.748841
gen_deconv1 - mean: -0.077066, std: 0.468663, max: 2.006902, min: -2.459864
gen_deconv2 - mean: -0.000918, std: 0.319995, max: 1.356467, min: -1.698529
gen_deconv1 - mean: -0.079895, std: 0.474983, max: 1.993398, min: -2.346234
gen_deconv2 - mean: -0.001588, std: 0.322815, max: 1.336637, min: -1.752228
gen_deconv1 - mean: -0.082075, std: 0.478304, max: 2.090019, min: -2.624132
gen_deconv2 - mean: -0.002024, std: 0.324156, max: 1.371559, min: -1.732091
gen_deconv1 - mean: -0.084348, std: 0.484026, max: 1.962752, min: -2.591593
gen_deconv2 - mean: -0.002637, std: 0.327049, max: 1.392742, min: -1.856614
gen_deconv1 - mean: -0.086500, std: 0.489367, max: 2.025525, min: -2.510514
gen_deconv2 - mean: -0.003138, std: 0.329765, max: 1.375627, min: -1.718888
gen_deconv1 - mean: -0.089143, std: 0.495347, max: 2.062210, min: -2.724310
gen_deconv2 - mean: -0.003646, std: 0.332358, max: 1.457605, min: -1.822818
gen_deconv1 - mean: -0.091866, std: 0.503203, max: 2.206466, min: -2.534356
gen_deconv2 - mean: -0.004255, std: 0.336197, max: 1.434715, min: -1.767517
gen_deconv1 - mean: -0.092889, std: 0.501818, max: 2.027639, min: -2.477114
gen_deconv2 - mean: -0.004291, std: 0.334964, max: 1.375293, min: -1.850651
gen_deconv1 - mean: -0.096022, std: 0.510929, max: 2.235564, min: -2.659725
gen_deconv2 - mean: -0.005029, std: 0.339354, max: 1.347889, min: -1.864588
gen_deconv1 - mean: -0.097993, std: 0.513686, max: 2.130098, min: -3.121064
gen_deconv2 - mean: -0.005275, std: 0.340389, max: 1.407840, min: -1.791022
gen_deconv1 - mean: -0.100536, std: 0.519505, max: 2.100956, min: -2.657166
gen_deconv2 - mean: -0.005797, std: 0.343086, max: 1.419900, min: -1.814793
gen_deconv1 - mean: -0.103398, std: 0.526893, max: 2.067097, min: -2.749527
gen_deconv2 - mean: -0.006472, std: 0.346572, max: 1.373795, min: -1.831934
gen_deconv1 - mean: -0.106033, std: 0.533940, max: 2.065808, min: -2.683481
gen_deconv2 - mean: -0.007035, std: 0.350176, max: 1.469734, min: -1.851946
gen_deconv1 - mean: -0.108008, std: 0.537237, max: 2.202158, min: -2.768646
gen_deconv2 - mean: -0.007316, std: 0.351769, max: 1.325945, min: -1.792595
gen_deconv1 - mean: -0.109512, std: 0.538840, max: 2.129506, min: -2.728490
gen_deconv2 - mean: -0.007546, std: 0.352707, max: 1.376001, min: -1.800975
gen_deconv1 - mean: -0.112805, std: 0.548398, max: 2.211227, min: -3.061097
gen_deconv2 - mean: -0.008396, std: 0.357728, max: 1.399054, min: -2.149188
gen_deconv1 - mean: -0.115470, std: 0.556904, max: 2.166030, min: -2.862400
gen_deconv2 - mean: -0.009240, std: 0.362468, max: 1.445244, min: -2.014085
gen_deconv1 - mean: -0.116360, std: 0.554199, max: 2.247091, min: -2.822951
gen_deconv2 - mean: -0.009076, std: 0.361425, max: 1.401104, min: -2.079005
gen_deconv1 - mean: -0.119152, std: 0.561430, max: 2.208124, min: -3.084597
gen_deconv2 - mean: -0.009947, std: 0.365510, max: 1.437136, min: -1.875623
gen_deconv1 - mean: -0.121790, std: 0.568606, max: 2.394129, min: -3.013755
gen_deconv2 - mean: -0.010913, std: 0.369801, max: 1.457280, min: -1.854444
gen_deconv1 - mean: -0.123840, std: 0.571105, max: 2.352655, min: -2.977003
gen_deconv2 - mean: -0.011544, std: 0.371741, max: 1.496728, min: -1.921225
gen_deconv1 - mean: -0.127752, std: 0.582616, max: 2.304949, min: -3.298980
gen_deconv2 - mean: -0.013162, std: 0.378496, max: 1.549439, min: -2.063206
gen_deconv1 - mean: -0.129661, std: 0.584327, max: 2.312820, min: -2.971369
gen_deconv2 - mean: -0.014089, std: 0.380651, max: 1.472211, min: -2.000063
gen_deconv1 - mean: -0.133589, std: 0.595474, max: 2.317525, min: -2.847952
gen_deconv2 - mean: -0.015916, std: 0.387757, max: 1.646496, min: -1.978686
gen_deconv1 - mean: -0.135583, std: 0.598193, max: 2.306719, min: -2.923354
gen_deconv2 - mean: -0.017071, std: 0.391090, max: 1.489219, min: -2.026139
gen_deconv1 - mean: -0.138729, std: 0.606386, max: 2.448970, min: -3.076124
gen_deconv2 - mean: -0.018939, std: 0.397706, max: 1.568834, min: -2.041820
gen_deconv1 - mean: -0.140136, std: 0.608370, max: 2.386794, min: -3.108708
gen_deconv2 - mean: -0.020141, std: 0.401248, max: 1.550614, min: -2.007077
gen_deconv1 - mean: -0.144767, std: 0.624307, max: 2.452482, min: -3.256879
gen_deconv2 - mean: -0.022365, std: 0.411311, max: 1.570149, min: -2.125633
gen_deconv1 - mean: -0.147573, std: 0.631043, max: 2.570210, min: -3.406274
gen_deconv2 - mean: -0.023097, std: 0.415679, max: 1.598183, min: -2.201112
gen_deconv1 - mean: -0.148762, std: 0.633813, max: 2.661304, min: -3.228393
gen_deconv2 - mean: -0.023160, std: 0.418094, max: 1.687799, min: -2.125863
gen_deconv1 - mean: -0.151813, std: 0.641495, max: 2.401757, min: -3.354259
gen_deconv2 - mean: -0.023323, std: 0.422144, max: 1.725180, min: -2.120178
gen_deconv1 - mean: -0.153772, std: 0.645464, max: 2.460142, min: -3.193170
gen_deconv2 - mean: -0.022939, std: 0.424044, max: 1.654688, min: -2.229208
gen_deconv1 - mean: -0.156352, std: 0.653179, max: 2.480707, min: -3.389921
gen_deconv2 - mean: -0.022620, std: 0.427609, max: 1.753511, min: -2.126823
gen_deconv1 - mean: -0.159040, std: 0.658773, max: 2.748641, min: -3.134334
gen_deconv2 - mean: -0.021886, std: 0.429719, max: 1.693504, min: -2.283943
gen_deconv1 - mean: -0.162635, std: 0.669222, max: 2.852935, min: -3.596178
gen_deconv2 - mean: -0.021156, std: 0.433953, max: 1.753877, min: -2.388273
gen_deconv1 - mean: -0.163015, std: 0.664890, max: 2.442122, min: -3.420037
gen_deconv2 - mean: -0.018779, std: 0.430800, max: 1.698249, min: -2.176599
gen_deconv1 - mean: -0.166485, std: 0.673174, max: 2.622163, min: -3.682121
gen_deconv2 - mean: -0.016947, std: 0.433191, max: 1.776411, min: -2.106978
gen_deconv1 - mean: -0.169063, std: 0.677555, max: 2.601778, min: -3.573468
gen_deconv2 - mean: -0.014342, std: 0.433679, max: 1.774243, min: -2.295076
gen_deconv1 - mean: -0.172432, std: 0.683934, max: 2.712403, min: -3.576752
gen_deconv2 - mean: -0.011465, std: 0.434883, max: 1.757007, min: -2.221766
gen_deconv1 - mean: -0.173993, std: 0.682469, max: 2.610467, min: -3.609526
gen_deconv2 - mean: -0.007704, std: 0.431664, max: 1.763404, min: -2.261735
gen_deconv1 - mean: -0.180216, std: 0.695640, max: 2.639536, min: -3.415397
gen_deconv2 - mean: -0.005030, std: 0.434666, max: 1.716360, min: -2.264746
gen_deconv1 - mean: -0.181460, std: 0.692285, max: 2.646385, min: -3.553495
gen_deconv2 - mean: -0.001229, std: 0.430151, max: 1.700055, min: -2.128739
gen_deconv1 - mean: -0.184838, std: 0.696126, max: 2.669774, min: -3.962864
gen_deconv2 - mean: 0.001959, std: 0.428540, max: 1.845064, min: -2.171934
gen_deconv1 - mean: -0.187790, std: 0.697419, max: 2.721365, min: -3.482278
gen_deconv2 - mean: 0.004894, std: 0.425914, max: 1.712629, min: -2.247123
gen_deconv1 - mean: -0.191881, std: 0.704353, max: 2.821551, min: -3.664826
gen_deconv2 - mean: 0.007310, std: 0.426033, max: 1.704383, min: -2.266473
gen_deconv1 - mean: -0.195651, std: 0.709071, max: 2.738585, min: -3.595737
gen_deconv2 - mean: 0.009655, std: 0.425005, max: 1.704133, min: -2.179343
gen_deconv1 - mean: -0.199771, std: 0.716461, max: 2.778060, min: -3.701134
gen_deconv2 - mean: 0.011705, std: 0.425176, max: 1.709907, min: -2.183679
gen_deconv1 - mean: -0.202902, std: 0.721054, max: 2.818266, min: -3.676775
gen_deconv2 - mean: 0.013568, std: 0.424647, max: 1.721794, min: -2.215036
gen_deconv1 - mean: -0.204564, std: 0.719992, max: 2.731176, min: -3.710873
gen_deconv2 - mean: 0.015535, std: 0.421794, max: 1.652884, min: -2.368245
gen_deconv1 - mean: -0.207495, std: 0.724172, max: 2.703856, min: -3.646781
gen_deconv2 - mean: 0.016934, std: 0.421369, max: 1.647947, min: -2.137300
gen_deconv1 - mean: -0.211208, std: 0.732383, max: 2.759711, min: -3.523315
gen_deconv2 - mean: 0.018272, std: 0.422907, max: 1.689633, min: -2.229426
gen_deconv1 - mean: -0.214394, std: 0.738518, max: 2.813643, min: -3.724557
gen_deconv2 - mean: 0.019572, std: 0.423663, max: 1.745883, min: -2.179850
gen_deconv1 - mean: -0.215119, std: 0.736177, max: 2.845779, min: -3.715270
gen_deconv2 - mean: 0.021000, std: 0.421376, max: 1.703202, min: -2.155593
gen_deconv1 - mean: -0.216853, std: 0.738715, max: 2.841954, min: -3.822350
gen_deconv2 - mean: 0.022369, std: 0.421029, max: 1.672585, min: -2.152897
gen_deconv1 - mean: -0.218446, std: 0.739978, max: 2.800588, min: -3.792246
